Reservations  Temperature  Pizzas
13            26           44
2             14           23
14            20           28
23            25           60
13            24           42
1             12           5
18            23           51
10            18           44
26            24           42
3             14           9
3             12           14
21            27           43
7             17           22
22            21           34
2             12           16
27            26           46
6             15           26
10            21           33
18            18           29
15            26           43
9             20           37
26            25           62
8             21           47
15            22           38
10            20           22
21            21           29
5             12           34
6             14           38
13            19           30
13            20           28

reservations = [ 13, 2,  14, 23, 13, 1,  18, 10, 26, 3,  3,  21, 7,  22, 2,  27, 6,  10, 18, 15, 9,  26, 8,  15, 10, 21, 5,  6,  13, 13]
temperatures = [ 26, 14, 20, 25, 24, 12, 23, 18, 24, 14, 12, 27, 17, 21, 12, 26, 15, 21, 18, 26, 20, 25, 21, 22, 20, 21, 12, 14, 19, 20]
pizzas =       [ 44, 23, 28, 60, 42, 5,  51, 44, 42, 9,  14, 43, 22, 34, 16, 46, 26, 33, 29, 43, 37, 62, 47, 38, 22, 29, 34, 38, 30, 28]
