Reservations  Temperature   Tourists  Pizzas
13            26            9         44
2             14            6         23
14            20            3         28
23            25            9         60
13            24            8         42
1             12            2         5
18            23            9         51
10            18            10        44
26            24            3         42
3             14            1         9
3             12            3         14
21            27            5         43
7             17            3         22
22            21            1         34
2             12            4         16
27            26            2         46
6             15            4         26
10            21            7         33
18            18            3         29
15            26            8         43
9             20            6         37
26            25            9         62
8             21            10        47
15            22            7         38
10            20            2         22
21            21            1         29
5             12            7         34
6             14            9         38
13            19            4         30
13            20            3         28

reservations = [13, 2,  14, 23, 13, 1,  18, 10, 26, 3,  3,  21, 7,  22, 2,  27, 6,  10, 18, 15, 9,  26, 8,  15, 10, 21, 5,  6,  13, 13]
temperatures = [26, 14, 20, 25, 24, 12, 23, 18, 24, 14, 12, 27, 17, 21, 12, 26, 15, 21, 18, 26, 20, 25, 21, 22, 20, 21, 12, 14, 19, 20]
tourists     = [9,  6,  3,  9,  8,  2,  9,  10, 3,  1,  3,  5,  3,  1,  4,  2,  4,  7,  3,  8,  6,  9,  10, 7,  2,  1,  7,  9,  4,  3]
pizzas       = [44, 23, 28, 60, 42, 5,  51, 44, 42, 9,  14, 43, 22, 34, 16, 46, 26, 33, 29, 43, 37, 62, 47, 38, 22, 29, 34, 38, 30, 28]



